"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"SNT-100-YW-T";;;
2;"U7";"MCP3425";1;"MCP3421A0T-ECH";;;
3;"IC2";"1072";1;"1072";;;
4;"IC1";"SOIC127P600X175-8N";1;"PCF8523T_1,118";;;
5;"R15,R14";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"5k";;;
6;"R13";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"13k";;;
7;"R12";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2k";;;
8;"C17,C10,C12";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10uF";;;
9;"U5";"SOIC-14_3.9x8.7mm_P1.27mm";1;"SN74HC125DR";;;
10;"C1,C3,C14,C15,C16";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"1uF";;;
11;"C2,C5,C8,C9,C11,C13";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"0.1uF";;;
12;"C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100uF";;;
13;"C6,C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"20pF";;;
14;"D1,D2,D3";"LED_D3.0mm_Clear";3;"151031VS06000";;;
15;"J1";"PinSocket_2x20_P2.54mm_Vertical";1;"PinSocket_2x20_P2.54mm_Vertical";;;
16;"J2";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"1725656";;;
17;"J3";"TerminalBlock_Phoenix_MPT-0,5-5-2.54_1x05_P2.54mm_Horizontal";1;"1725685";;;
18;"J4";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
19;"J5";"PinHeader_2x03_P2.54mm_Vertical";1;"PinHeader_2x03_P2.54mm_Vertical";;;
20;"Q1";"TO-220-3_Vertical";1;"FQP27P06";;;
21;"Q2";"TO-92_Inline";1;"2N3904";;;
22;"R1,R10";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"470";;;
23;"R2,R3,R4,R5,R6,R7,R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"10k";;;
24;"R8,R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1k";;;
25;"SW1,SW2";"SW_PUSH_6mm";2;"PTS645SL432LFS";;;
26;"SW3";"SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm";1;"1825057-1";;;
27;"U1";"SOT-23_Handsoldering";1;"MCP1703AT-3302E/CB";;;
28;"U2";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-AU";;;
29;"U3";"SSOP-28_5.3x10.2mm_P0.65mm";1;"FT232RL";;;
30;"U4";"SOIJ-8_5.3x5.3mm_P1.27mm";1;"25LC1024-E/SM";;;
31;"U6";"Converter_DCDC_TRACO_TSR-1_THT";1;"TSR_1-2450";;;
32;"Y1";"Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm";1;"F90800021";;;
33;"Y2";"Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering";1;"LFXTAL050789REEL";;;
